Call,GOTA Call,Final Score,Category,Section,Power Multiplier,Club Name,Participants,Transmitters,Power Source,Total CW QSOs,Total Digital QSOs,Total Phone QSOs,Total QSOs,Bonus Points,Checklog Y/N
AA0RC,,1692,2A,MO,2,Audrain EmComm,19,2,B,0,82,257,339,850,
AA0RW,,1686,2A,MN,2,Hiawatha Valley ARC,25,2,G,6,0,256,262,1150,
AA0VE,,365,1E,MO,5,St. Louis QRP Soc.,1,1,B,11,0,1,12,250,
AA1NK,,466,1D,EMA,2,Billerica ARS,1,1,C,100,4,0,104,50,
AA1UC,,322,1D,EMA,2,Barnstable ARC,1,1,C,20,0,96,116,50,
AA2BG,,1262,1B1,WNY,2,,1,1,B,0,278,0,278,150,
AA2BJ,,4176,1D,NNY,2,,2,1,C,825,119,125,1069,150,
AA3B,,9406,1E,EPA,2,,1,1,G,2289,0,0,2289,250,
AA3CS,,868,1D,OH,2,Silvercreek ARA,1,1,C,204,0,1,205,50,
AA3EE,,370,1E,WPA,2,,1,1,B,55,0,0,55,150,
AA3HD,,450,1B1C,ME,2,York Co. ARC,1,1,C,0,0,200,200,50,
AA3SP,,466,1E,EPA,2,,1,1,B,0,79,0,79,150,
AA4DD,,986,1D,TN,2,Bristol ARC,1,1,C,65,169,0,234,50,
AA4FB,,390,1D,WCF,2,,1,1,C,0,85,0,85,50,
AA4G,,78,1D,NFL,2,Orange Park ARC,1,1,C,0,0,14,14,50,
AA4GA,,3198,1D,GA,2,South East Contest Club,1,1,C,787,0,0,787,50,
AA4HV,,1550,1D,TN,2,,1,1,C,0,375,0,375,50,
AA4LR,,1086,2E,GA,2,,1,2,G,163,23,46,232,250,
AA4NC,,4150,1E,NC,5,NC Contesters,1,1,B,400,0,0,400,150,
AA4NO,,1222,1D,NC,2,,1,1,C,293,0,0,293,50,
AA4RV,KQ4YUT,12964,6A,NC,2,Franklin Co. (NC) ARC,69,6,G,1971,284,907,3162,2130,
AA4S,KY4LAW,930,3AC,KY,2,Anderson RC,6,3,C,47,96,24,167,310,
AA4SD,,550,1E,SC,5,Swamp Fox Contest Grp.,1,1,B,40,0,0,40,150,
AA4U,,2180,1E,AL,5,Alabama Contest Grp.,1,1,B,0,203,0,203,150,
AA5AH,,466,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,95,18,113,50,
AA5GV,,176,2D,NTX,2,Copperas Cove Repeater Assn.,2,2,C,0,0,63,63,50,
AA5OY,,94,1D,LA,2,,1,1,C,11,0,0,11,50,
AA5UN,,746,1D,NTX,2,,1,1,C,1,156,34,191,50,
AA5VE,,1930,1B1B,NTX,5,,1,1,B,178,0,0,178,150,
AA5W,,450,1B1,STX,2,Bryan ARC,1,1,B,100,0,0,100,50,
AA6CV,N6PK,7838,23A,SB,2,Conejo Valley ARC,40,23,G,336,365,717,1418,3600,
AA6FD,,5550,1AB,CO,5,Mountaintop Operators,3,1,B,381,119,0,500,550,
AA6H,,156,1C,GA,2,,1,1,O,0,0,3,3,150,
AA7A,,1386,1D,AZ,2,,1,1,C,304,30,0,334,50,Y
AA7RM,,404,1B1,WWA,2,,1,1,B,0,0,77,77,250,
AA8DN,,362,1D,OH,2,,1,1,C,0,78,0,78,50,
AA8IA,,250,1D,OH,2,Steubenville-Weirton ARC,1,1,C,42,0,16,58,50,
